[Jan/20/2020 | 14:38:36.264] [LOG]    94676|2337449|2019-11-06 imported to Map table.
[Jan/20/2020 | 14:40:20.820] [LOG]    94677|2337449|2019-11-06 imported to Map table.
[Jan/20/2020 | 15:04:17.643] [LOG]    |2337558 archive downloaded
[Jan/20/2020 | 15:04:17.644] [LOG]    |2337558 Extracting . . .
[Jan/20/2020 | 15:04:18.735] [LOG]    |2337265 starting download. . .
[Jan/20/2020 | 15:09:02.122] [LOG]    94467|2337558 1 Orphan(s) found
[Jan/20/2020 | 15:09:02.124] [LOG]    94467|2337558 1 Orphan(s) found
[Jan/20/2020 | 15:10:17.707] [LOG]    94467|2337558|2019-11-02 imported to Map table.
[Jan/20/2020 | 15:11:32.495] [LOG]    94462|2337558|2019-11-02 imported to Map table.
[Jan/20/2020 | 15:12:14.602] [LOG]    94465|2337558|2019-11-02 imported to Map table.
[Jan/20/2020 | 15:13:36.179] [LOG]    |2337265 archive downloaded
[Jan/20/2020 | 15:13:36.180] [LOG]    |2337265 Extracting . . .
[Jan/20/2020 | 15:13:36.281] [LOG]    |2337486 archive downloaded
[Jan/20/2020 | 15:13:36.281] [LOG]    |2337486 Extracting . . .
[Jan/20/2020 | 15:13:40.433] [LOG]    |2337264 starting download. . .
[Jan/20/2020 | 15:13:40.435] [LOG]    |2337266 starting download. . .
[Jan/20/2020 | 15:13:53.399] [LOG]    94424|2337265|2019-11-02 imported to Map table.
[Jan/20/2020 | 15:13:53.559] [LOG]    			 94311/2337486 Fetched matchMapStats. (No orphans found.)
[Jan/20/2020 | 15:13:55.779] [LOG]    94300|2337486|2019-10-31 imported to Map table.
[Jan/20/2020 | 15:13:58.160] [LOG]    94311|2337486|2019-10-31 imported to Map table.
[Jan/20/2020 | 15:15:48.876] [LOG]    |2337266 archive downloaded
[Jan/20/2020 | 15:15:48.886] [LOG]    |2337266 Extracting . . .
[Jan/20/2020 | 15:15:55.326] [LOG]    |2337267 starting download. . .
[Jan/20/2020 | 15:15:55.414] [LOG]    |2337264 archive downloaded
[Jan/20/2020 | 15:15:55.414] [LOG]    |2337264 Extracting . . .
[Jan/20/2020 | 15:16:01.845] [LOG]    |2337263 starting download. . .
[Jan/20/2020 | 15:16:05.244] [LOG]    94429|2337266|2019-11-02 imported to Map table.
[Jan/20/2020 | 15:16:07.850] [LOG]    94425|2337264|2019-11-02 imported to Map table.
[Jan/20/2020 | 15:17:30.157] [LOG]    |2337263 archive downloaded
[Jan/20/2020 | 15:17:30.158] [LOG]    |2337263 Extracting . . .
[Jan/20/2020 | 15:17:35.290] [LOG]    2337546 already downloaded or downloading (/home/jcm/matches/2337546/archive.rar), skipping. . .
[Jan/20/2020 | 15:17:35.318] [LOG]    94419|2337546|Sat, 02 Nov 2019 09:10:00 GMT
[Jan/20/2020 | 15:17:35.318] [LOG]    [Error: EEXIST: file already exists, open '/home/jcm/matches/2337546/archive.rar'] {
  errno: -17,
  code: 'EEXIST',
  syscall: 'open',
  path: '/home/jcm/matches/2337546/archive.rar'
}
[Jan/20/2020 | 15:17:36.287] [LOG]    |2337272 starting download. . .
[Jan/20/2020 | 15:17:38.741] [LOG]    94423|2337263|2019-11-02 imported to Map table.
